54 (0.0465116)
22 32 10 (0.0465116)
22 32 0 (0.0465116)
22 27 26 (0.0465116)
22 27 31 (0.0465116)
22 27 28 (0.0465116)
22 27 25 (0.0465116)
22 27 16 (0.0465116)
22 27 10 (0.0465116)
22 27 0 (0.0465116)
22 26 46 (0.0465116)
22 26 35 (0.0465116)
22 26 31 (0.0697674)
22 26 28 (0.0697674)
22 26 25 (0.0697674)
22 26 16 (0.0697674)
22 26 10 (0.0697674)
22 26 0 (0.0697674)
22 46 35 (0.0465116)
22 46 31 (0.0465116)
22 46 28 (0.0465116)
22 46 25 (0.0465116)
22 46 16 (0.0465116)
22 46 10 (0.0465116)
22 46 0 (0.0465116)
22 35 31 (0.0465116)
22 35 28 (0.0465116)
22 35 25 (0.0465116)
22 35 16 (0.0465116)
22 35 10 (0.0465116)
22 35 0 (0.0465116)
22 31 28 (0.0697674)
22 31 25 (0.0697674)
22 31 16 (0.0697674)
22 31 10 (0.0697674)
22 31 0 (0.0697674)
22 28 25 (0.0697674)
22 28 16 (0.0697674)
22 28 10 (0.0697674)
22 28 0 (0.0697674)
22 25 16 (0.0697674)
22 25 10 (0.0697674)
22 25 0 (0.0697674)
22 16 10 (0.0697674)
22 16 0 (0.0697674)
22 10 0 (0.0697674)
81 108 16 (0.0465116)
81 108 0 (0.0465116)
81 16 0 (0.0465116)
39 32 26 (0.0465116)
39 32 46 (0.0465116)
39 32 35 (0.0465116)
39 32 31 (0.0465116)
39 32 28 (0.0465116)
39 32 25 (0.0465116)
39 32 16 (0.0465116)
39 32 10 (0.0465116)
39 32 0 (0.0465116)
39 56 28 (0.0465116)
39 56 16 (0.0465116)
39 56 0 (0.0465116)
39 26 46 (0.0465116)
39 26 35 (0.0465116)
39 26 31 (0.0465116)
39 26 28 (0.0465116)
39 26 25 (0.0465116)
39 26 16 (0.0465116)
39 26 10 (0.0465116)
39 26 0 (0.0465116)
39 46 35 (0.0465116)
39 46 31 (0.0465116)
39 46 28 (0.0465116)
39 46 25 (0.0465116)
39 46 16 (0.0465116)
